Region,lga,investment,type,entity,theme,name,description
SOUTH EASTERN METRO,Frankston,116000000,School Education ,Department of Education,Education,Expanding access to tech schools,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. "
N AND W METRO,Hume,116000000,School Education ,Department of Education,Education,Expanding access to tech schools,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. "
BARWON SW,Warrnambool,116000000,School Education ,Department of Education,Education,Expanding access to tech schools,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. "
SOUTH EASTERN METRO,Greater Dandenong,116000000,School Education ,Department of Education,Education,Expanding access to tech schools,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. "
N AND W METRO,Brimbank,116000000,School Education ,Department of Education,Education,Expanding access to tech schools,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. "
HUME,Wangaratta,116000000,School Education ,Department of Education,Education,Expanding access to tech schools,"Funding is provided to build and operate six new Tech Schools in Frankston, Hume, Warrnambool, Dandenong, Brimbank, and Wangaratta and establish a Clean Energy Equipment Fund for new and existing Tech Schools. "
N AND W METRO,Hume,450000000,Non-Government Schools Capital Fund,Department of Education,Education,"Kolbe College, new campus (Mickleham)","Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria."
N AND W METRO,Whittlesea,450000000,Non-Government Schools Capital Fund,Department of Education,Education,New Catholic Primary school (Wollert),"Funding will be provided for construction, expansion and renovation of low-fee paying Catholic and Independent schools in Victoria."
GRAMPIANS,Hepburn,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Creswick-Clunes."
SOUTH EASTERN METRO,Greater Dandenong,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Dandenong."
GIPPSLAND,South Gippsland,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Foster."
SOUTH EASTERN METRO,Frankston,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Frankston North."
N AND W METRO,Merri-bek,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Glenroy."
GRAMPIANS,Golden Plains,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Golden Plains."
SOUTH EASTERN METRO,Casey,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Hallam."
SOUTH EASTERN METRO,Casey,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Hampton Park-Lynbrook."
N AND W METRO,Banyule,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Heidelberg West."
N AND W METRO,Brimbank,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Kings Park."
N AND W METRO,Whittlesea,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Lalor."
LODDON MALLE,Loddon,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Loddon."
LODDON MALLE,Central Goldfields,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Maryborough."
N AND W METRO,Melton,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Melton South."
LODDON MALLE,Mildura,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Mildura."
SOUTH EASTERN METRO,Greater Dandenong,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Noble Park East."
HUME,Moira,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Numurkah."
BARWON SW,Greater Geelong,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Portarlington."
BARWON SW,Glenelg,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Portland."
N AND W METRO,Darebin,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Reservoir."
LODDON MALLE,Campaspe,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Rochester."
N AND W METRO,Melton,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Rockbank-Mount Cottrell."
HUME,Mitchell,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Seymour."
HUME,Greater Shepparton,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Shepparton."
N AND W METRO,Wyndham,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Werribee."
GIPPSLAND,Latrobe,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Yallourn North-Glengarry."
LODDON MALLE,Greater Bendigo,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Eaglehawk North Primary School early learning centre."
N AND W METRO,Merri-bek,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Moomba Park Primary School early learning centre."
GRAMPIANS,Yarriambiack,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Murtoa College early learning centre."
N AND W METRO,Brimbank,991000000,Early Learning Centres,Department of Education,Education,"Best Start, Best Life: Infrastructure ","Funding is provided to continue delivery of infrastructure to increase the capacity for early learning provision as part of the Best Start, Best Life initiative to progressively transition four-year-old kindergarten to Pre-Prep, including Sunshine Primary School early learning centre."
GIPPSLAND,East Gippsland,"100,000",Energy and Resources,"Department of Energy, Environment and Climate Action",Clean Energy,Doing what matters for local communities – renewable energy ,Funding is provided to deliver renewable energy solutions in Benambra to support the local community with access to clean and local energy alternatives.
GRAMPIANS,Hepburn,7200000,Environment and Biodiversity,"Department of Energy, Environment and Climate Action",Environment and Parkland,"Protecting our parks, pets and wildlife – animal welfare ",Funding is provided for a package of wildlife welfare and conservation programs.
N AND W METRO,Melbourne,7400000,Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,Delivering better parks and playgrounds,"Funding is provided for upgrades at the following parks, open spaces and facilities."
N AND W METRO,Whittlesea,7400000,Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,Delivering better parks and playgrounds,"Funding is provided for upgrades at the following parks, open spaces and facilities."
N AND W METRO,Hobsons Bay,7400000,Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,Delivering better parks and playgrounds,"Funding is provided for upgrades at the following parks, open spaces and facilities."
SOUTH EASTERN METRO,Kingston,7400000,Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,Delivering better parks and playgrounds,"Funding is provided for upgrades at the following parks, open spaces and facilities."
BARWON SW,Greater Geelong,13400000,Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,"Protecting our parks, pets and wildlife – dog parks ",Funding is provided to build new dog parks.
N AND W METRO,Whittlesea,13400000,Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,"Protecting our parks, pets and wildlife – dog parks ",Funding is provided to build new dog parks.
N AND W METRO,Brimbank,13400000,Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,"Protecting our parks, pets and wildlife – dog parks ",Funding is provided to build new dog parks.
SOUTH EASTERN METRO,Casey,13400000,Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,"Protecting our parks, pets and wildlife – dog parks ",Funding is provided to build new dog parks.
EASTERN METRO,Monash,13400000,Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,"Protecting our parks, pets and wildlife – dog parks ",Funding is provided to build new dog parks.
HUME,Indigo,"700,000",Management of Public Land and Forests,"Department of Energy, Environment and Climate Action",Environment and Parkland,Doing what matters for local communities – environment,Funding is provided to the Kiewa Catchment Landcare Group to continue protecting and preserving the local environment and to promote sustainable land management in the regions.
